"Title","Abstract","Keywords","Authors","Journal","DOI","URL"
"A1","Short-long term anomaly detection in wireless sensor networks based on machine learning and multi-parameterized edit distance","Heterogeneous wireless sensor networks are a source of large amount of different information representing environmental aspects such as light, temperature, and humidity. A very important research problem related to the analysis of the sensor data is the detection of relevant anomalies. In this work, we focus on the detection of unexpected sensor data resulting either from the sensor system itself or from the environment under scrutiny. We propose a novel approach for automatic anomaly detection in heterogeneous sensor networks based on coupling edge data analysis with cloud data analysis. The former exploits a fully unsupervised artificial neural network algorithm, whereas cloud data analysis exploits the multi-parameterized edit distance algorithm. The experimental evaluation of the proposed method is performed applying the edge and cloud analysis on real data that has been acquired in an indoor building environment and then distorted with a range of synthetic impairments. The obtained results show that the proposed method can self-adapt to the environment variations and correctly identify the anomalies. We show how the combination of edge and cloud computing can mitigate the drawbacks of purely edge-based analysis or purely cloud-based solutions.","Intelligent sensing,Sensor fusion,Anomaly detection,Cloud-assisted sensing,Internet of Things","FrancescoCauteruccioa,GiancarloFortinoab,AntonioGuerrierib,AntonioLiottac,Decebal ConstantinMocanud,CristianPerrae,GiorgioTerracinaa,MariaTorres Vegaf","Information Fusion","https://doi.org/10.1016/j.inffus.2018.11.010","https://www.sciencedirect.com/science/article/pii/S1566253518304305"
"A2","Genome-wide survey of efflux pump-coding genes associated with Cronobacter survival, osmotic adaptation, and persistence","","","FlaviaNegrete1,HyeinJang1,JayanthiGangiredla1,JungHaWoo1,YouYoungLee1,Isha RPatel1,Hannah RChase1,SamanthaFinkelstein1,Caroline ZWang1,ShabarinathSrikumar2,ScottNguyen2,AthmanyaEshwar3,RogerStephan3,AngelikaLehner3,SéamusFanning2,Ben DTall1,Gopal RGopinath1","Current Opinion in Food Science","https://doi.org/10.1016/j.cofs.2018.11.005","https://www.sciencedirect.com/science/article/pii/S221479931830033X"
"A3","Data fusion in cyber-physical-social systems: State-of-the-art and perspectives","Cyber-Physical-Social systems (CPSSs) are the extension of Cyber-Physical systems (CPS), which seamlessly integrate cyber space, physical space and social space. CPSSs promote the information resource from single space to tri-space, so as to lead a revolution in data science (DS). This paper aims to provide a comprehensive review of data fusion in CPSSs for readers. We firstly analyze data collection and representation in CPSS and propose to use tensors to represent CPSS data, then a general definition of CPSS data fusion is proposed to clarify the concept of information fusion in CPSS. After that, some representative data fusion methods related to CPSS are reviewed. Furthermore, we propose a series of tensor based data fusion methods for CPSS data. Also, we review the design of data fusion frameworks and propose a comprehensive data fusion framework for CPSS. Some challenges and future works are discussed as well.","CPSS,Data fusion,Data fusion framework design,Tensor","PumingWanga,Laurence T.Yangab,JintaoLia,JinjunChenc,ShangqingHud","Information Fusion","https://doi.org/10.1016/j.inffus.2018.11.002","https://www.sciencedirect.com/science/article/pii/S1566253518301507"
"A4","Machine learning for integrating data in biology and medicine: Principles, practice, and opportunities","New technologies have enabled the investigation of biology and human health at an unprecedented scale and in multiple dimensions. These dimensions include a myriad of properties describing genome, epigenome, transcriptome, microbiome, phenotype, and lifestyle. No single data type, however, can capture the complexity of all the factors relevant to understanding a phenomenon such as a disease. Integrative methods that combine data from multiple technologies have thus emerged as critical statistical and computational approaches. The key challenge in developing such approaches is the identification of effective models to provide a comprehensive and relevant systems view. An ideal method can answer a biological or medical question, identifying important features and predicting outcomes, by harnessing heterogeneous data across several dimensions of biological variation. In this Review, we describe the principles of data integration and discuss current methods and available implementations. We provide examples of successful data integration in biology and medicine. Finally, we discuss current challenges in biomedical integrative methods and our perspective on the future development of the field.","Computational biology,Personalized medicine,Systems biology,Heterogeneous data,Machine learning","MarinkaZitnika,FrancisNguyenbc,BoWangd,JureLeskovecae,AnnaGoldenbergfgh,Michael M.Hoffmanbcgh","Information Fusion","https://doi.org/10.1016/j.inffus.2018.09.012","https://www.sciencedirect.com/science/article/pii/S1566253518304482"
"A5","On the necessity of abstraction","","","GeorgeKonidaris","Current Opinion in Behavioral Sciences","https://doi.org/10.1016/j.cobeha.2018.11.005","https://www.sciencedirect.com/science/article/pii/S2352154618302080"
"A6","Evidence gathering for hypothesis resolution using judicial evidential reasoning","Realistic decision-making often occurs with insufficient time to gather all possible evidence before a decision must be rendered, requiring an efficient process for prioritizing between potential action sequences. This work aims to develop a rigorous framework for gathering evidence to resolve hypotheses notwithstanding ambiguous, incomplete, and uncertain evidence. Studies have shown that decision-makers demonstrate several biases in decisions involving probability judgment, so decision-makers must be confident that the evidence-based hypothesis resolution is strong and impartial before declaring a resolution. The proposed Judicial Evidential Reasoning framework encodes decision-maker questions as rigorously testable hypotheses to be interrogated through evidence-gathering actions. Dempster–Shafer theory is applied to model hypothesis knowledge and quantify ambiguity, and an equal-effort heuristic is proposed to balance time-efficiency and impartiality. Adversarial optimization techniques are used to make many-hypothesis resolution computationally tractable. This work includes derivation of the generalized formulation, computational tractability considerations for improved performance, several illustrative examples, and application to a space situational awareness sensor network tasking scenario. The results show strong hypothesis resolution and robustness to fixation due to poor prior evidence.","Dempster–Shafer theory,Hypothesis resolution,Confirmation bias,Ambiguity aversion,Decision support","A.D.Jaunzemisa,M.J.Holzingera,M.W.Chanb,P.P.Shenoyc","Information Fusion","https://doi.org/10.1016/j.inffus.2018.09.010","https://www.sciencedirect.com/science/article/pii/S1566253518302598"
"A7","Machine learning algorithms for wireless sensor networks: A survey","Wireless sensor network (WSN) is one of the most promising technologies for some real-time applications because of its size, cost-effective and easily deployable nature. Due to some external or internal factors, WSN may change dynamically and therefore it requires depreciating dispensable redesign of the network. The traditional WSN approaches have been explicitly programmed which make the networks hard to respond dynamically. To overcome such scenarios, machine learning (ML) techniques can be applied to react accordingly. ML is the process of self-learning from the experiences and acts without human intervention or re-program. The survey of the ML techniques for WSNs is presented in [1], covering period of 2002–2013. In this survey, we present various ML-based algorithms for WSNs with their advantages, drawbacks, and parameters effecting the network lifetime, covering the period from 2014–March 2018. In addition, we also discuss ML algorithms for synchronization, congestion control, mobile sink scheduling and energy harvesting. Finally, we present a statistical analysis of the survey, the reasons for selection of a particular ML techniques to address an issue in WSNs followed by some discussion on the open issues.","Wireless sensor networks,Machine learning,Energy efficiency,Network lifetime,Data aggregation","D.Praveen Kumar,TarachandAmgoth,Chandra Sekhara RaoAnnavarapu","Information Fusion","https://doi.org/10.1016/j.inffus.2018.09.013","https://www.sciencedirect.com/science/article/pii/S156625351830277X"
"A8","Deep learning with multi-scale feature fusion in remote sensing for automatic oceanic eddy detection","Oceanic eddies are ubiquitous in global oceans and play a major role in ocean energy transfer and nutrients distribution, thus being significant for understanding ocean current circulation and marine climate change. They are characterized by a combination of high-speed vertical rotations and horizontal movements, leading to irregular three-dimensional spiral structures. While the ability to detect eddies automatically and remotely is crucial to monitoring important spatial–temporal dynamics, existing methods are inaccurate because eddies are highly dynamic and the underlying physical processes are not well understood. Typically, remote sensing is used to detect eddies based on physical parameters, geometrics or other handcrafted features. In this paper, we show how Deep Learning may be used to reliably extract higher-level features and then fuse multi-scale features to identify eddies, regardless of their structures and scales. We learn eddy features using two principal component analysis convolutional layers, then perform a non-linear transformation of the features through a binary hashing layer and block-wise histograms. To handle the difficult problem of spatial variability across synthetic aperture radar (SAR) images, we introduce a spatial pyramid model to allow multi-scale features fusion. Finally, a linear support vector machine classifier recognizes the eddies. Our method, dubbed DeepEddy, is benchmarked against a dataset of 20,000 SAR image samples, achieving a 97.8<U+202F>±<U+202F>1% accuracy of detection.","Remote sensing,Feature fusion,SAR images,Eddy detection,Deep learning","DuYanlingab,SongWeia,HeQia,HuangDongmeia,LiottaAntonioc,SuChenb","Information Fusion","https://doi.org/10.1016/j.inffus.2018.09.006","https://www.sciencedirect.com/science/article/pii/S1566253518304214"
"A9","A survey on region based image fusion methods","Image fusion has been emerging as an important area of research. It has attracted many applications such as surveillance, photography, medical diagnosis, etc. Image fusion techniques are developed at three levels: pixel, feature and decision. Region based image fusion is one of the methods of feature level. It possesses certain advantages – less sensitive to noise, more robust and avoids misregistration. This paper presents a review of region based fusion approaches. A first hand classification of region based fusion methods is carried out. A comprehensive list of objective fusion evaluation metrics is highlighted to compare the existing methods. A detailed analysis is carried out and results are presented in tabular form. This may attract researchers to further explore the research in this direction.","Image fusion,Region based fusion,Segmentation","BikashMehera,SanjayAgrawala,RutuparnaPandaa,AjithAbrahamb","Information Fusion","https://doi.org/10.1016/j.inffus.2018.07.010","https://www.sciencedirect.com/science/article/pii/S1566253517307583"
"A10","Tourism slogans – Towards a conceptual framework","This paper perused extant literature to develop a conceptual framework for tourism slogan analysis. Brand image, leisure motivations, and cultural dimensions were identified to influence the creation and effects of brand slogans. Based on this framework, the author further explored the affect levels of 134 national tourism slogans through the application of ANEW (Affective Norms for English Words). Three clusters of tourism slogans were identified based on their valence and arousal scores listed in ANEW. Moreover, the cultural dimension of Uncertainty Avoidance was found to be negatively correlated to valence and arousal levels of tourism slogans. Theoretically, the contribution of this paper lies in its application of affect levels of words to make possible multivariate analysis and visualization of tourism slogans. Pragmatically, the application of ANEW in this paper offers a guideline on choosing desirable affective words in creating tourism slogans.","Tourism slogans,Affective image,Cultural dimensions,Brand personality","StevePan","Tourism Management","https://doi.org/10.1016/j.tourman.2018.11.023","https://www.sciencedirect.com/science/article/pii/S0261517718303042"
