"Title","Abstract","Keywords","Authors","Journal","DOI","URL"
"A1","Self-Service Technology Research: A bibliometric co-citation visualization analysis","As a value co-creation tool, there is growing adoption of self-service technology (SST) in hospitality. However, SST has received limited hospitality research attention. As a guide for future research, the purpose of this study was to conduct a bibliometric analysis focusing, first, on the hospitality and tourism SST literature, but then expanding to include the broader business SST literatures. The goals of this research were to examine the evolution and current trends in SST research; to identify the studies which have made key contributions to the intellectual foundation, development, and turning points; and to identify key SST research topics, trends, and questions. The analysis covers 199 journal articles published in HTM (n<U+2009>=<U+2009>23) and the broader business management literature (n<U+2009>=<U+2009>176) between 2000 and 2017. The results identify foundational articles, turning point articles, and article clusters. The study closes with recommendations for future hospitality SST research as well as theoretical implications.","Self-service technology,Value co-creation,Bibliometric co-citation analysis,Intellectual Foundation/Structure,Knowledge evolution","HakseungShin,Richard R.Perdue","International Journal of Hospitality Management","https://doi.org/10.1016/j.ijhm.2019.01.012","https://www.sciencedirect.com/science/article/pii/S0278431918302901"
"A2","A scientometric analysis and critical review of construction related ontology research","There is a wide range of literature on adopting ontology to solve construction problems, but no review of existing studies has systematically analyzed and visualized the trends in ontology research. This study reviews ontology research mainly published in the Scopus database from 2007 to 2017 with the combination of scientometric analysis and critical review. Scientometric analysis (e.g. co-author, co-word, co-citation, and clusters) objectively visualized the research status quo while a critical review was used to identify the research themes and challenges of ontology research in the construction industry. The results identified a large network of co-authors in this field to understand collaboration relationships. Over half the papers (53%) were published by the following three countries: the United States, the United Kingdom, and Canada. The top co-occurring keywords were “project management” at which ontology facilitates knowledge management and information retrieval. When the time factor was taken into consideration, keywords naturally evolved from “project management”, and “knowledge management” to “building information modeling”, and “compliance control” with the successful adoption of information techniques in the construction industry. Four research themes were identified with the combination of cluster analysis and critical review: “Domain ontology”, “Industry foundation classes”, “Automated compliance checking”, and “Building information modeling”. This review provides an in-depth understanding of existing ontology research and indicates the emerging trends in this research domain.","Ontology,Research trends,Scientometrics,CiteSpace,Construction industry","BotaoZhongab,HaitaoWuab,HengLic,SamadSepasgozard,HanbinLuoab,LingHeab","Automation in Construction","https://doi.org/10.1016/j.autcon.2018.12.013","https://www.sciencedirect.com/science/article/pii/S0926580518305648"
"A3","The human factor in supply chain forecasting: A systematic review","Demand forecasts are the lifeblood of supply chains. Academic literature and common industry practices indicate that demand forecasts are often subject to human interventions. Judgmental forecasting or judgmental forecast adjustments can cause both positive and negative repercussions to the rest of the supply chain. This paper provides the first systematic literature review of judgmental forecasting and adjustments focusing on key features that impact various decisions in supply chains. A carefully assembled and shortlisted literature pool is analyzed for systematic mapping of the published works using bibliometric tools. The primary sub streams of research within the broader scope of the field are synthesized from a rigorous keyword cluster analysis and a thorough discussion is presented. Our review concludes by encapsulating the key learnings from four decades of academic research in judgmental forecasting and suggests future research avenues to expand our understanding of the role of humans in demand forecasting and supply chain decision-making.","Supply chain management,Demand forecasting,Judgment,Behavioral operations,Literature review","H. NilesPerera†,JasonHurley†,BehnamFahimnia,MohsenReisi","European Journal of Operational Research","https://doi.org/10.1016/j.ejor.2018.10.028","https://www.sciencedirect.com/science/article/pii/S0377221718308816"
"A4","The worldwide research trends on water ecosystem services","In recent decades, the scarcity of water resources, the deterioration of aquatic ecosystems and associated repercussions for other ecosystems have become major global challenges. In this context, research on water ecosystem services has become increasingly important. The objective of this work is to analyse the evolution of this line of research worldwide for the period 1998–2017. A bibliometric analysis showed that this line of research has been gaining relevance within the ecosystem services field. Exponential growth has been observed in such research, and more than 65% of the studies have been performed in the last five years. Economic analyses have little relevance and gradually have lost relative importance. Results show that the most used keywords during the studied period are Ecosystem, Biodiversity, Water Quality, Ecology and Climate Change. The highest contributing countries on this topic are USA, China, UK, Germany and Australia. The leading institutions in this research field are the Chinese Academy of Sciences, the Research Center for Eco-Environmental Sciences and the Wageningen University and Research Centre. A high level of international collaboration is observed between the different agents involved in ecosystem services research and extensive cooperation networks. Three differentiated clusters have been detected around which this type of work is grouped: aquatic ecosystems, forest ecosystems and agricultural ecosystems. The interactions between different types of ecosystems must be investigated with respect to water, and holistic frameworks should be developed that integrate the different disciplines to achieve a more complete analysis of the set of services that contribute to the sustainable management of the different types of ecosystems.","Scientific research,Ecosystem services,Water,Bibliometric analysis,Scopus","José A.Aznar-Sáncheza,Juan F.Velasco-Muñoza,Luis J.Belmonte-Ureñaa,FranciscoManzano-Agugliarob","Ecological Indicators","https://doi.org/10.1016/j.ecolind.2018.12.045","https://www.sciencedirect.com/science/article/pii/S1470160X18309786"
"A5","Analysis on the theory and practice of industrial symbiosis based on bibliometrics and social network analysis","Industrial symbiosis (IS) can generate economic, social, and environmental benefits, and support sustainable development; thus, many governments and scholars are devoted to exploring it. To analyze and evaluate the current status and development trends of industrial symbiosis, this study selects “industrial symbiosis” as a research title to search the Web of Science (core collection) database, and uses the bibliometrics and social network analysis (SNA) methods. The results turn out that an increasing amount of research has been devoted to industrial symbiosis in recent years. They also show that the study of industrial symbiosis has obvious cross-disciplinary characteristics. Current research on industrial symbiosis mainly focuses on four issues: evolution and development, operation carriers, driving mechanisms, and efficiency evaluation of industrial systems. The research of the industrial symbiosis network will greatly promote the industrial green development for the industrial transformation and upgrading of various countries. Many methods are used to examine these four questions, including case studies, life cycle assessment (LCA), material flow analysis (MFA), data envelopment analysis (DEA), multi-criteria decision making (MCDM), emergy analysis, and SNA. This article provides the trends of industrial symbiosis research for further study. The data mining can be used in the industrial symbiosis network and a dynamic simulation industry symbiotic evolutionary process model can be discussed in the future.","Industrial symbiosis,Co-word analysis,Bibliometrics,Social network analysis (SNA)","MaoxingHuang,ZhenzhenWang,TingChen","Journal of Cleaner Production","https://doi.org/10.1016/j.jclepro.2018.12.131","https://www.sciencedirect.com/science/article/pii/S0959652618338435"
"A6","Mapping the bike sharing research published from 2010 to 2018: A scientometric review","An increasing number of studies since 2010 have examined bike sharing from diverse perspectives to provide the best travel practices of “the last mile”. However, few studies have attempted to comprehensively review existing literature over the past decade. The present study aims to map bike sharing research published between 2010 and 2018. A total of 208 relevant articles were collected to conduct scientometric analysis. The results revealed that the most significant contributions in bike sharing research primarily originated from the US, China, Canada, England and Australia. Critical institutions, publications and articles were also identified. The knowledge domains of bike sharing research focus mainly on topic categories of factors & barrier, system optimization, behavior & impact, safety & health, and sharing economy. Evolutionary trends in bike sharing research tend to move from the safety and benefits of bike usage to more complex external impacts, system optimization, design and integration with public transit. Furthermore, increasing interests and outputs in the new generation of dockless bike sharing programs were observed from the research community for the past two years. The present study contributes to the existing body of knowledge on bike sharing by presenting a new, integrated and holistic knowledge map. This study offers valuable guidance and in-depth understanding to researchers, operators and policy makers who wish to promote bike sharing sustainability, as well as for follow-up studies, updates and management.","Bike sharing,Review,Scientometric,Knowledge map,Sustainable transportation","HongyunSia,Jian-gangShia,GuangdongWub,JindaoChenac,XianboZhaod","Journal of Cleaner Production","https://doi.org/10.1016/j.jclepro.2018.12.157","https://www.sciencedirect.com/science/article/pii/S0959652618338678"
"A7","A bibliometric analysis of the essential oil-bearing plants exposed to the water stress: How long way we have come and how much further?","Water stress is of the most influential factors limiting plant growth and impairing plant metabolism and the stress conditions have been considered as an advantageous phenomenon and many studies regarding with water stress-induced essential oil changes have been performed. In most of the studies, essential oil and its compositional changes have been reported. However, quantitative data are lacking on the profile of published researches in water stress x essential oil interactions. The objective of the current study was to examine the profile of original and review articles under the topic of water stress and essential oil using bibliometric analysis. We identified 129 relevant and available peer-reviewed publications from 1992 to 2017 from the Scopus database. The retrieved documents were analyzed using VOSviewer.Based on the number of publications, Iran was the predominant country in publishing those documents, followed by India, Egypt and United States. The distribution of the frequency of authors and the number of their publications were fitted with the Lotka’s Law. Kolmogorov–Smirnov goodness-of-fit test results showed that there was no difference between theoretical (expected) and observed authors numbers. Furthermore, the Lamiaceae and Apiaceae families are the most studied plant groups. Of those plant families, basil (Ocimum spp.) and sage (Salvia spp.) species were more pronounced in the studies. According to the cluster results, three groups including terms associated with “stress conditions”, “studied plant group”, and “secondary metabolites” were determined. For the exogenous chemicals applied to improve stress-induced perturbations, salicylic acid was found to be most preferred and used as a growth regulator. Most articles were concentrated in several journals. In fact, almost a quarter of the document was published in only three journals namely, Industrial Crops and Products, Journal of Essential Oil-Bearing Plants and Scientia Horticulturae. These journals can be considered as the core journals for knowledge dissemination of essential oil content and its compositional alteration induced with water stress applications.","Bibliometric analysis,Essential oil,Drought,Water stress,Water deficiency","MuhittinKulakab,AliOzkanc,RecepBindakd","Scientia Horticulturae","https://doi.org/10.1016/j.scienta.2018.11.031","https://www.sciencedirect.com/science/article/pii/S0304423818308124"
"A8","Internet of Things (IoT), mobile cloud, cloudlet, mobile IoT, IoT cloud, fog, mobile edge, and edge emerging computing paradigms: Disambiguation and research directions","Currently, we are experiencing a technological shift, which is expected to change the way we program and interact with the world. Cloud computing and mobile computing are two prominent research areas that have already had such an impact. The Internet of Things (IoT), which is concerned with building a network of Internet-enabled devices to promote a smart environment, is another promising area of research. Numerous emerging computing paradigms related to those areas of research and/or their intersections have come into play. These include Mobile Cloud Computing (MCC), cloudlet computing, mobile clouds, mobile IoT computing, IoT cloud computing, fog computing, Mobile Edge Computing (MEC), edge computing, the Web of Things (WoT), the Semantic WoT (SWoT), the Wisdom WoT (W2T), opportunistic sensing, participatory sensing, mobile crowdsensing, and mobile crowdsourcing. Unfortunately, those paradigms suffer from the lack of standard definitions, and so we frequently encounter a single term referring to various paradigms or several terms referring to a single paradigm. Accordingly, this paper attempts to disambiguate those paradigms and explain how and where they fit in the above three areas of research and/or their intersections before it becomes a serious problem. They are tracked back to their inception as much as possible. This is in addition to discussing research directions in each area. The paper also introduces technologies related to the IoT such as ubiquitous and pervasive computing, the Internet of Nano Things (IoNT), and the Internet of Underwater Things (IoUT).","Cloudlet computing,Crowdsensing,Crowdsourcing,Edge computing,Fog computing,Internet of things,Mobile cloud,Mobile cloud computing,Mobile edge computing,Opportunistic sensing,Participatory sensing,Semantic web of things,Web of things,Wisdom web of things","HananElazharyab","Journal of Network and Computer Applications","https://doi.org/10.1016/j.jnca.2018.10.021","https://www.sciencedirect.com/science/article/pii/S1084804518303497"
"A9","A scientometric analysis and visualization of global green building research","In this paper, the first inclusive scientometric review of global green building research (GGBR) is presented. The aim of this review study is to systematically analyze and visualize the state-of-the-art of the GGBR. To this end, a quantitative method – science mapping – was employed to analyze 6867 related bibliographic records retrieved from Scopus. The research findings are instructive in identifying and understanding trends and patterns, including core research areas, journals, institutions, and countries, and how these are linked, within the existing body of literature on green building (GB). They also assist in recognizing the gaps and deficiencies in the current GGBR and thus useful and promising directions for future research. This research has implications for journal editors, practitioners, policy makers, researchers, and research institutions, e.g., universities. It can help these stakeholders make vital contributions to developing and accruing intellectual wealth to the GB area, while providing them with a detailed understanding of the trend and status quo of the GGBR.","Green building,Sustainability,Research,Scientometrics,Review","AmosDarkoa,Albert P.C.Chana,XiaosenHuoa,De-GraftOwusu-Manub","Building and Environment","https://doi.org/10.1016/j.buildenv.2018.12.059","https://www.sciencedirect.com/science/article/pii/S0360132318308175"
"A10","A novel big data analytics framework for smart cities","The emergence of smart cities aims at mitigating the challenges raised due to the continuous urbanization development and increasing population density in cities. To face these challenges, governments and decision makers undertake smart city projects targeting sustainable economic growth and better quality of life for both inhabitants and visitors. Information and Communication Technology (ICT) is a key enabling technology for city smartening. However, ICT artifacts and applications yield massive volumes of data known as big data. Extracting insights and hidden correlations from big data is a growing trend in information systems to provide better services to citizens and support the decision making processes. However, to extract valuable insights for developing city level smart information services, the generated datasets from various city domains need to be integrated and analyzed. This process usually referred to as big data analytics or big data value chain. Surveying the literature reveals an increasing interest in harnessing big data analytics applications in general and in the area of smart cities in particular. Yet, comprehensive discussions on the essential characteristics of big data analytics frameworks fitting smart cities requirements are still needed. This paper presents a novel big data analytics framework for smart cities called “Smart City Data Analytics Panel — SCDAP”. The design of SCDAP is based on answering the following research questions: what are the characteristics of big data analytics frameworks applied in smart cities in literature and what are the essential design principles that should guide the design of big data analytics frameworks have to serve smart cities purposes? In answering these questions, we adopted a systematic literature review on big data analytics frameworks in smart cities. The proposed framework introduces new functionalities to big data analytics frameworks represented in data model management and aggregation. The value of the proposed framework is discussed in comparison to traditional knowledge discovery approaches.","Analytics framework,Apache Hadoop,Apache spark,Big data,Smart cities","Ahmed M. ShahatOsman","Future Generation Computer Systems","https://doi.org/10.1016/j.future.2018.06.046","https://www.sciencedirect.com/science/article/pii/S0167739X17307446"
